date,min,max,pm25,q1,q3,stdev,count
2020-02-21T00:00:00.000Z,0.74,12.26,2.47,1.42,3.68,3.019,416
2020-02-22T00:00:00.000Z,0.26,2.97,1,0.66,1.56,0.576,440
2020-02-23T00:00:00.000Z,0.32,4.93,1.03,0.79,1.67,0.796,437
2020-02-24T00:00:00.000Z,0.48,3.82,1.24,0.98,1.54,0.556,516
2020-02-25T00:00:00.000Z,0.6,5.56,1.54,1.21,2.02,0.717,444
2020-02-26T00:00:00.000Z,0.53,10.42,0.92,0.83,1.08,1.106,396
2020-02-27T00:00:00.000Z,0.62,3.18,1.45,1.12,1.98,0.527,556
2020-02-28T00:00:00.000Z,0.88,26.04,1.71,1.44,2,1.924,556
2020-02-29T00:00:00.000Z,1.1,10.92,2.71,2.2,5.14,2.275,576
2020-03-01T00:00:00.000Z,1.3,12,2.54,1.97,3.25,2.032,570
2020-03-02T00:00:00.000Z,1.54,5.3,2.75,2.35,3.14,0.677,468
2020-03-03T00:00:00.000Z,2.04,20.62,7.8,6.55,9.42,3.146,423
2020-03-04T00:00:00.000Z,0.56,19.12,1.14,0.94,1.69,4.046,584
2020-03-05T00:00:00.000Z,0.64,6.95,1.43,1.18,1.64,0.568,586
2020-03-06T00:00:00.000Z,0.4,9.34,1.68,1.13,2.1,1.047,591
2020-03-07T00:00:00.000Z,3.32,19.93,9.53,8.13,10.9,2.724,592
2020-03-08T00:00:00.000Z,5.62,18.28,11.55,9.07,13.17,2.751,590
2020-03-09T00:00:00.000Z,1.14,13.28,7.9,3.77,10.72,3.696,581
2020-03-10T00:00:00.000Z,0.99,16.04,6.18,3.97,9.31,3.686,581
2020-03-11T00:00:00.000Z,0.34,5.62,2.13,1,2.94,1.173,578
2020-03-12T00:00:00.000Z,0.72,4.5,1.74,1.32,2.39,0.721,491
2020-03-13T00:00:00.000Z,0.3,3.62,0.85,0.72,1.23,0.433,511
2020-03-14T00:00:00.000Z,0.4,4.26,0.78,0.65,1.1,0.526,523
2020-03-15T00:00:00.000Z,1.96,7.12,4.12,3.2,4.98,1.104,289
2020-03-16T00:00:00.000Z,0.6,7.81,1.68,1.12,5.11,2.084,571
2020-03-17T00:00:00.000Z,1.05,8.42,1.99,1.62,2.76,0.927,579
2020-03-18T00:00:00.000Z,0.35,5.31,1.41,0.8,3.27,1.274,501
2020-03-19T00:00:00.000Z,0.51,4.22,1.44,1.05,1.94,0.601,557
2020-03-20T00:00:00.000Z,0.64,15.5,1.41,1.06,1.95,1.553,467
2020-03-21T00:00:00.000Z,0.56,2.8,1.02,0.84,1.36,0.433,487
2020-03-22T00:00:00.000Z,0.63,8.74,1.31,1.07,1.71,1.025,453
2020-03-23T00:00:00.000Z,0.7,2.64,1.38,1.1,1.67,0.374,422
2020-03-24T00:00:00.000Z,1.73,4.5,2.45,2.2,2.94,0.549,446
2020-03-25T00:00:00.000Z,1.92,7.57,3.9,3.45,4.97,1.094,418
2020-03-26T00:00:00.000Z,4,13.81,7.77,7,10.4,2.062,432
2020-03-27T00:00:00.000Z,6.2,12.49,8.75,7.7,10,1.442,365
2020-03-28T00:00:00.000Z,0.52,2.65,1,0.82,1.17,0.316,177
2020-03-29T00:00:00.000Z,0.48,2.02,0.79,0.68,0.89,0.235,333
